	Features	0-precision	1-precision	0-recall	1-recall	0-fscore	1-fscore	Accuracy	Std-Error
104	Glucose,BloodPressure,Insulin,Age	0.9240506329113924	0.6216216216216216	0.7227722772277227	0.8846153846153846	0.8111111111111111	0.7301587301587302	0.7304795185400893	0.06229790219681888
117	Glucose,BloodPressure,SkinThickness,BMI,DiabetesPedigreeFunction	0.8555555555555555	0.6190476190476191	0.7623762376237624	0.75	0.8062827225130891	0.6782608695652174	0.7127548048922538	0.04634053673732339
101	Glucose,BloodPressure,BMI,DiabetesPedigreeFunction	0.8163265306122449	0.6181818181818182	0.7920792079207921	0.6538461538461539	0.8040201005025126	0.6355140186915889	0.7069112793632304	0.06433420999344372
113	Glucose,BloodPressure,SkinThickness,DiabetesPedigreeFunction	0.8387096774193549	0.6166666666666667	0.7722772277227723	0.7115384615384616	0.8041237113402062	0.6607142857142857	0.7010095127159774	0.05620850960677351
85	Glucose,SkinThickness,BMI,DiabetesPedigreeFunction	0.8387096774193549	0.6166666666666667	0.7722772277227723	0.7115384615384616	0.8041237113402062	0.6607142857142857	0.7166569598136285	0.05060673207632365
72	Glucose,Insulin,Age	0.9125	0.6164383561643836	0.7227722772277227	0.8653846153846154	0.8066298342541437	0.7200000000000001	0.7383226557949912	0.05263933951347231
92	Glucose,SkinThickness,Insulin,BMI,Age	0.9125	0.6164383561643836	0.7227722772277227	0.8653846153846154	0.8066298342541437	0.7200000000000001	0.7304601048340128	0.032706097254959626
98	Glucose,BloodPressure,DiabetesPedigreeFunction,Age	0.891566265060241	0.6142857142857143	0.7326732673267327	0.8269230769230769	0.8043478260869565	0.7049180327868853	0.7462240341681227	0.07737421636224602
96	Glucose,BloodPressure,Age	0.9230769230769231	0.6133333333333333	0.7128712871287128	0.8846153846153846	0.8044692737430168	0.7244094488188976	0.7344205008736168	0.06714608504257773
118	Glucose,BloodPressure,SkinThickness,BMI,DiabetesPedigreeFunction,Age	0.8461538461538461	0.6129032258064516	0.7623762376237624	0.7307692307692307	0.8020833333333334	0.6666666666666667	0.7305765870704718	0.0751630557694829
100	Glucose,BloodPressure,BMI,Age	0.9012345679012346	0.6111111111111112	0.7227722772277227	0.8461538461538461	0.8021978021978022	0.7096774193548387	0.7344399145796933	0.06139144921771988
64	Glucose,Age	0.9113924050632911	0.6081081081081081	0.7128712871287128	0.8653846153846154	0.8	0.7142857142857144	0.7383420695010677	0.05612346295635932
121	Glucose,BloodPressure,SkinThickness,Insulin,DiabetesPedigreeFunction	0.8144329896907216	0.6071428571428571	0.7821782178217822	0.6538461538461539	0.7979797979797979	0.6296296296296297	0.7009706853038244	0.04825560070847802
67	Glucose,BMI	0.8902439024390244	0.6056338028169014	0.7227722772277227	0.8269230769230769	0.7978142076502732	0.6991869918699187	0.7068918656571539	0.052344860003460426
120	Glucose,BloodPressure,SkinThickness,Insulin,Age	0.8902439024390244	0.6056338028169014	0.7227722772277227	0.8269230769230769	0.7978142076502732	0.6991869918699187	0.7245195107746069	0.044163685205554686
97	Glucose,BloodPressure,DiabetesPedigreeFunction	0.8210526315789474	0.603448275862069	0.7722772277227723	0.6730769230769231	0.7959183673469388	0.6363636363636364	0.7128130460104833	0.06602400218276379
