	Features	0-precision	1-precision	0-recall	1-recall	0-fscore	1-fscore	Accuracy	Std-Error
22	SkinThickness,BMI,DiabetesPedigreeFunction,Age	0.6578947368421053	0.0	0.9900990099009901	0.0	0.790513833992095	0.0	0.6476994758299359	0.015533585490415414
23	SkinThickness,Insulin	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6535430013589595	0.0035804474484341163
24	SkinThickness,Insulin,Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6456416229858281	0.04092552907194948
25	SkinThickness,Insulin,DiabetesPedigreeFunction	0.7007874015748031	0.5384615384615384	0.8811881188118812	0.2692307692307692	0.7807017543859649	0.3589743589743589	0.6633663366336634	0.01941011420858734
26	SkinThickness,Insulin,DiabetesPedigreeFunction,Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6201125994952437	0.03168329916874704
27	SkinThickness,Insulin,BMI	0.6363636363636364	0.25	0.7623762376237624	0.15384615384615385	0.6936936936936936	0.1904761904761905	0.6218986604542807	0.05286771007834285
28	SkinThickness,Insulin,BMI,Age	0.7522123893805309	0.6	0.8415841584158416	0.46153846153846156	0.794392523364486	0.5217391304347826	0.64762182100563	0.04023971917115644
29	SkinThickness,Insulin,BMI,DiabetesPedigreeFunction	0.7931034482758621	0.5151515151515151	0.6831683168316832	0.6538461538461539	0.7340425531914894	0.576271186440678	0.6298388662395651	0.039596137041761965
30	SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age	0.8314606741573034	0.578125	0.7326732673267327	0.7115384615384616	0.7789473684210527	0.6379310344827586	0.6398757522811105	0.03772283417204038
31	BloodPressure	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6535430013589595	0.0035804474484341163
32	BloodPressure,Age	0.6622516556291391	0.5	0.9900990099009901	0.019230769230769232	0.7936507936507936	0.037037037037037035	0.637953795379538	0.041473983336441284
33	BloodPressure,DiabetesPedigreeFunction	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6238788584740826	0.02922697181873285
34	BloodPressure,DiabetesPedigreeFunction,Age	0.6688741721854304	1.0	1.0	0.038461538461538464	0.8015873015873015	0.07407407407407407	0.643739079790332	0.039528346055951465
35	BloodPressure,BMI	0.6808510638297872	0.5833333333333334	0.9504950495049505	0.1346153846153846	0.7933884297520661	0.21875	0.641681226946224	0.0319937993942148
36	BloodPressure,BMI,Age	0.75	0.5853658536585366	0.8316831683168316	0.46153846153846156	0.7887323943661972	0.5161290322580645	0.6397980974568045	0.051692921504059595
37	BloodPressure,BMI,DiabetesPedigreeFunction	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6850902737332556	0.034116041032295805
38	BloodPressure,BMI,DiabetesPedigreeFunction,Age	0.7452830188679245	0.5319148936170213	0.7821782178217822	0.4807692307692308	0.7632850241545893	0.505050505050505	0.6615608619685498	0.04314779048736148
39	BloodPressure,Insulin	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6535430013589595	0.0035804474484341163
40	BloodPressure,Insulin,Age	0.6736111111111112	0.5555555555555556	0.9603960396039604	0.09615384615384616	0.7918367346938776	0.1639344262295082	0.6378955542613085	0.03759491124210674
41	BloodPressure,Insulin,DiabetesPedigreeFunction	0.6620689655172414	0.375	0.9504950495049505	0.057692307692307696	0.7804878048780488	0.09999999999999999	0.6554067171423025	0.03881309190396571
42	BloodPressure,Insulin,DiabetesPedigreeFunction,Age	0.7107438016528925	0.53125	0.8514851485148515	0.3269230769230769	0.7747747747747747	0.40476190476190477	0.6260920209668026	0.041126413943241
43	BloodPressure,Insulin,BMI	0.6577181208053692	0.25	0.9702970297029703	0.019230769230769232	0.784	0.03571428571428572	0.6161133760434867	0.02101594433799718
44	BloodPressure,Insulin,BMI,Age	0.6622516556291391	0.5	0.9900990099009901	0.019230769230769232	0.7936507936507936	0.037037037037037035	0.6240535818287711	0.019232899059890854
45	BloodPressure,Insulin,BMI,DiabetesPedigreeFunction	0.7692307692307693	0.4533333333333333	0.594059405940594	0.6538461538461539	0.6703910614525139	0.5354330708661418	0.6319743739079791	0.03300127895873359
46	BloodPressure,Insulin,BMI,DiabetesPedigreeFunction,Age	0.775	0.4657534246575342	0.6138613861386139	0.6538461538461539	0.6850828729281767	0.544	0.633954571927781	0.02949688883520274
47	BloodPressure,SkinThickness	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6178994370025238	0.04386400475826996
48	BloodPressure,SkinThickness,Age	0.6642857142857143	0.38461538461538464	0.9207920792079208	0.09615384615384616	0.7717842323651453	0.15384615384615385	0.6083090662007378	0.03951866712317481
49	BloodPressure,SkinThickness,DiabetesPedigreeFunction	0.6715328467153284	0.4375	0.9108910891089109	0.1346153846153846	0.773109243697479	0.2058823529411765	0.647544166181324	0.031200187354955153
50	BloodPressure,SkinThickness,DiabetesPedigreeFunction,Age	0.6971830985915493	0.8181818181818182	0.9801980198019802	0.17307692307692307	0.8148148148148148	0.28571428571428575	0.6280528052805281	0.042748451793341254
51	BloodPressure,SkinThickness,BMI	0.6598639455782312	0.3333333333333333	0.9603960396039604	0.038461538461538464	0.782258064516129	0.06896551724137931	0.6259949524364201	0.03707707838206729
52	BloodPressure,SkinThickness,BMI,Age	0.6622516556291391	0.5	0.9900990099009901	0.019230769230769232	0.7936507936507936	0.037037037037037035	0.6515239759270045	0.03587666539737228
53	BloodPressure,SkinThickness,BMI,DiabetesPedigreeFunction	0.73	0.4716981132075472	0.7227722772277227	0.4807692307692308	0.7263681592039801	0.4761904761904762	0.6672490778489614	0.04667908452066013
54	BloodPressure,SkinThickness,BMI,DiabetesPedigreeFunction,Age	0.6870229007633588	0.5	0.8910891089108911	0.21153846153846154	0.7758620689655173	0.29729729729729726	0.6338963308095515	0.03621791160680128
55	BloodPressure,SkinThickness,Insulin	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6081925839642788	0.038694131566147115
56	BloodPressure,SkinThickness,Insulin,Age	0.6642857142857143	0.38461538461538464	0.9207920792079208	0.09615384615384616	0.7717842323651453	0.15384615384615385	0.6259755387303436	0.022582271252703786
57	BloodPressure,SkinThickness,Insulin,DiabetesPedigreeFunction	0.6643835616438356	0.42857142857142855	0.9603960396039604	0.057692307692307696	0.7854251012145749	0.10169491525423728	0.6181324014754417	0.03882221863926508
58	BloodPressure,SkinThickness,Insulin,DiabetesPedigreeFunction,Age	0.6601307189542484	0.0	1.0	0.0	0.7952755905511811	0.0	0.6319937876140556	0.037560047899752855
59	BloodPressure,SkinThickness,Insulin,BMI	0.6554054054054054	0.2	0.9603960396039604	0.019230769230769232	0.7791164658634538	0.03508771929824562	0.637759658318773	0.018650439356076267
60	BloodPressure,SkinThickness,Insulin,BMI,Age	0.6622516556291391	0.5	0.9900990099009901	0.019230769230769232	0.7936507936507936	0.037037037037037035	0.6319161327897496	0.023227507521006486
61	BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction	0.75	0.4492753623188406	0.6237623762376238	0.5961538461538461	0.681081081081081	0.5123966942148761	0.6515628033391575	0.0053676703121695694
62	BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Age	0.6713286713286714	0.5	0.9504950495049505	0.09615384615384616	0.7868852459016393	0.16129032258064518	0.6556590953212968	0.033746561096365535
63	Glucose	0.8055555555555556	0.6888888888888889	0.8613861386138614	0.5961538461538461	0.832535885167464	0.6391752577319588	0.7284604931081343	0.029901620073564106
64	Glucose,Age	0.8888888888888888	0.5972222222222222	0.7128712871287128	0.8269230769230769	0.7912087912087912	0.6935483870967742	0.7186953989516598	0.048927045858388814
